               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  92,              1.1913,             0.78458,              1.1179,              0.8883,             0.89688,             0.92758,             0.72842,              1.0311,             0.62038,              1.0909,           0.0027928,           0.0027928,           0.0027928
                  93,              1.1733,             0.77523,              1.1176,             0.88762,             0.89651,             0.92819,             0.72884,              1.0257,             0.61611,              1.0894,           0.0027136,           0.0027136,           0.0027136
                  94,              1.1809,             0.77703,              1.1185,             0.89179,             0.90117,             0.92798,             0.73142,              1.0225,             0.61698,              1.0884,           0.0026344,           0.0026344,           0.0026344
                  95,              1.1611,              0.7659,              1.1126,             0.88123,             0.90615,             0.92823,             0.73079,              1.0183,             0.61517,              1.0879,           0.0025552,           0.0025552,           0.0025552
                  96,              1.1618,             0.76303,               1.113,             0.88698,             0.90292,             0.92804,             0.73014,              1.0147,             0.61591,               1.087,            0.002476,            0.002476,            0.002476
                  97,              1.1673,             0.77169,              1.1108,             0.88457,             0.90049,             0.92797,             0.73184,              1.0101,             0.61497,              1.0865,           0.0023968,           0.0023968,           0.0023968
                  98,               1.147,             0.75565,              1.1092,             0.88936,               0.901,              0.9284,             0.73448,              1.0071,             0.61484,              1.0855,           0.0023176,           0.0023176,           0.0023176
                  99,              1.1298,             0.74395,              1.1065,             0.88736,             0.90385,             0.92784,             0.73482,              1.0038,             0.61282,              1.0853,           0.0022384,           0.0022384,           0.0022384
                 100,              1.1374,             0.75088,              1.1055,             0.88169,             0.90815,             0.92789,             0.73375,             0.99962,             0.61277,              1.0845,           0.0021592,           0.0021592,           0.0021592
                 101,              1.1362,             0.74867,              1.1062,             0.88014,             0.90637,             0.92773,             0.73533,             0.99608,             0.61088,              1.0838,             0.00208,             0.00208,             0.00208
                 102,              1.1202,             0.73574,              1.1021,             0.88267,             0.90864,             0.92826,             0.73654,             0.99228,             0.60978,              1.0831,           0.0020008,           0.0020008,           0.0020008
                 103,              1.1157,             0.73278,              1.1024,             0.88099,             0.90926,             0.92874,             0.73718,              0.9879,             0.60834,              1.0819,           0.0019216,           0.0019216,           0.0019216
                 104,              1.1137,             0.73363,              1.1064,             0.88034,             0.90929,             0.92914,             0.73866,             0.98487,             0.60729,              1.0816,           0.0018424,           0.0018424,           0.0018424
                 105,              1.0924,             0.71882,              1.0971,             0.88382,             0.90366,             0.92983,             0.73912,             0.98198,             0.60606,              1.0812,           0.0017632,           0.0017632,           0.0017632
                 106,              1.0864,             0.71526,              1.0979,             0.88415,             0.90345,             0.93012,             0.74086,             0.97838,             0.60369,              1.0809,            0.001684,            0.001684,            0.001684
                 107,              1.0846,              0.7135,              1.0984,             0.88468,             0.90449,             0.93004,             0.74125,             0.97434,             0.60187,                1.08,           0.0016048,           0.0016048,           0.0016048
                 108,              1.0733,             0.70942,              1.0952,             0.88689,             0.90296,             0.93031,             0.74103,             0.97064,             0.60206,              1.0794,           0.0015256,           0.0015256,           0.0015256
                 109,              1.0609,             0.69982,              1.0924,             0.88881,             0.90202,             0.93074,               0.742,              0.9671,             0.59979,              1.0786,           0.0014464,           0.0014464,           0.0014464
                 110,             0.82471,             0.46943,              1.0581,              0.8883,             0.90164,             0.93022,             0.74127,             0.96169,             0.59619,              1.0778,           0.0013672,           0.0013672,           0.0013672
                 111,             0.81017,             0.46015,              1.0551,             0.88896,             0.90062,             0.93029,             0.74195,             0.95807,             0.59649,              1.0772,            0.001288,            0.001288,            0.001288
                 112,             0.79746,             0.45514,              1.0526,              0.8935,             0.89896,             0.93037,             0.74321,             0.95397,             0.59679,              1.0765,           0.0012088,           0.0012088,           0.0012088
                 113,             0.78677,             0.44762,              1.0493,             0.89428,              0.8958,             0.93047,             0.74442,             0.95073,             0.59255,              1.0759,           0.0011296,           0.0011296,           0.0011296
                 114,             0.78022,             0.44234,              1.0456,             0.90045,             0.89965,             0.93913,             0.74655,             0.94775,             0.59124,              1.0758,           0.0010504,           0.0010504,           0.0010504
                 115,              0.7613,             0.43514,              1.0438,              0.9005,             0.89879,             0.93966,              0.7468,             0.94436,             0.59026,              1.0755,           0.0009712,           0.0009712,           0.0009712
                 116,             0.75541,              0.4347,               1.043,             0.89404,             0.90511,             0.93965,             0.74756,             0.94057,             0.58894,              1.0749,            0.000892,            0.000892,            0.000892
                 117,             0.74374,             0.42633,                1.04,             0.89004,             0.90061,             0.93165,             0.74645,             0.93786,             0.58681,              1.0747,           0.0008128,           0.0008128,           0.0008128
                 118,             0.73942,              0.4218,              1.0399,             0.89589,             0.89371,             0.93226,             0.74723,             0.93508,              0.5875,              1.0743,           0.0007336,           0.0007336,           0.0007336
                 119,             0.73115,             0.41974,              1.0384,             0.89545,             0.89414,             0.93239,             0.74905,             0.93273,             0.58633,              1.0741,           0.0006544,           0.0006544,           0.0006544
                 120,             0.72535,             0.41827,              1.0386,             0.89606,              0.8949,               0.933,             0.75066,             0.93109,             0.58665,               1.074,           0.0005752,           0.0005752,           0.0005752
                 121,             0.70783,             0.40841,               1.035,             0.89517,             0.89501,             0.93233,             0.74998,             0.92841,             0.58503,              1.0738,            0.000496,            0.000496,            0.000496
                 122,             0.70497,             0.40552,              1.0296,             0.89354,             0.89562,              0.9331,             0.75066,             0.92675,             0.58315,              1.0743,           0.0004168,           0.0004168,           0.0004168
                 123,             0.69182,             0.39979,               1.028,             0.89362,             0.89563,              0.9333,             0.75163,             0.92522,             0.58281,              1.0745,           0.0003376,           0.0003376,           0.0003376
                 124,             0.69224,             0.40073,              1.0283,             0.89045,             0.90355,             0.93328,             0.75121,             0.92492,             0.58156,              1.0755,           0.0002584,           0.0002584,           0.0002584
